00:00:00$00:00:26$01:04:34$00:00:26$1$0$52,03$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:26$01:04:34$00:00:26$1$0$52,03$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:27$01:04:33$00:00:27$1$0$52,05$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:28$01:04:32$00:00:28$1$0$52,06$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:28$01:04:32$00:00:28$1$0$52,06$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:29$01:04:31$00:00:29$1$0$52,07$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:30$01:04:30$00:00:30$1$0$52,09$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:31$01:04:29$00:00:31$1$0$52,1$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:32$01:04:28$00:00:32$1$0$52,11$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:32$01:04:28$00:00:32$1$0$52,11$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
00:00:00$00:00:33$01:04:27$00:00:33$1$0$52,13$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$2$0$2$0$56000$0$0$
