00:00:00$00:00:42$01:04:18$00:00:42$1$0$52,25$41,025278$28,888201$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$179$0$2$0$56000$0$0$
00:00:00$00:00:42$01:04:18$00:00:42$1$0$52,25$41,025278$28,888201$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$179$0$2$0$56000$0$0$
00:00:00$00:00:43$01:04:17$00:00:43$1$0$52,26$41,02527$28,888227$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$184$0$2$0$56000$0$0$
00:00:00$00:00:43$01:04:17$00:00:43$1$0$52,27$41,025268$28,888208$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:44$01:04:16$00:00:44$1$0$52,27$41,025271$28,888199$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:44$01:04:16$00:00:44$1$0$52,28$41,025271$28,888199$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:45$01:04:15$00:00:45$1$0$52,29$41,025271$28,888199$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:45$01:04:15$00:00:45$1$0$52,29$41,025269$28,888177$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:46$01:04:14$00:00:46$1$0$52,3$41,025266$28,888167$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:46$01:04:14$00:00:46$1$0$52,31$41,025266$28,888167$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:47$01:04:13$00:00:47$1$0$52,31$41,025266$28,888167$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:47$01:04:13$00:00:47$1$0$52,32$41,025268$28,888152$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:48$01:04:12$00:00:48$1$0$52,33$41,025273$28,888141$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
